epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1847.48,0.7806,0.74121,1.04699,0.91402,0.88043,0.92717,0.68938,0.93738,0.67062,1.16025,0.000136187,0.000136187,0.000136187
81,1870.53,0.78825,0.73234,1.05459,0.93879,0.87218,0.92451,0.68199,0.98686,0.66903,1.16336,0.00013,0.00013,0.00013
82,1893.5,0.7772,0.73243,1.0569,0.92946,0.88865,0.92544,0.67151,1.01223,0.67938,1.17664,0.000123812,0.000123812,0.000123812
83,1916.5,0.78253,0.72626,1.04975,0.92962,0.88017,0.92497,0.64786,1.10782,0.67921,1.20249,0.000117625,0.000117625,0.000117625
84,1939.54,0.79159,0.74537,1.05338,0.93386,0.87513,0.92495,0.68445,0.96588,0.65861,1.15642,0.000111438,0.000111438,0.000111438
85,1962.6,0.76993,0.72527,1.04264,0.93456,0.87909,0.92553,0.66363,1.04097,0.6749,1.17823,0.00010525,0.00010525,0.00010525
86,1985.62,0.75569,0.73354,1.04187,0.93779,0.87721,0.92268,0.68845,0.94964,0.65834,1.15895,9.90625e-05,9.90625e-05,9.90625e-05
87,2008.72,0.76622,0.7253,1.04455,0.92982,0.8766,0.9228,0.68461,0.97022,0.65785,1.16469,9.2875e-05,9.2875e-05,9.2875e-05
88,2031.71,0.78055,0.72018,1.05293,0.9369,0.87525,0.92174,0.67694,0.98109,0.65451,1.16516,8.66875e-05,8.66875e-05,8.66875e-05
89,2054.69,0.76311,0.7193,1.04155,0.93237,0.88665,0.92761,0.68652,0.95373,0.63702,1.15537,8.05e-05,8.05e-05,8.05e-05
90,2077.68,0.76205,0.70703,1.04241,0.94438,0.87879,0.92771,0.67568,1.00914,0.64997,1.17677,7.43125e-05,7.43125e-05,7.43125e-05
91,2101.28,0.66914,0.48743,0.98776,0.92803,0.87709,0.92642,0.68081,0.9588,0.6516,1.1618,6.8125e-05,6.8125e-05,6.8125e-05
92,2124.12,0.65122,0.46271,0.98222,0.92117,0.87909,0.92592,0.68522,0.96022,0.64496,1.16615,6.19375e-05,6.19375e-05,6.19375e-05
93,2146.95,0.64607,0.44955,0.9753,0.93154,0.88158,0.92877,0.67659,0.98859,0.64642,1.16831,5.575e-05,5.575e-05,5.575e-05
94,2169.85,0.64268,0.44669,0.97518,0.92932,0.88695,0.9286,0.68504,0.97786,0.64236,1.16885,4.95625e-05,4.95625e-05,4.95625e-05
95,2192.7,0.63996,0.44721,0.97537,0.93221,0.8742,0.9251,0.68713,0.95486,0.64211,1.15932,4.3375e-05,4.3375e-05,4.3375e-05
96,2215.52,0.63924,0.44016,0.97736,0.9252,0.87995,0.92363,0.68689,0.96405,0.64129,1.15991,3.71875e-05,3.71875e-05,3.71875e-05
97,2238.36,0.62916,0.43476,0.96655,0.93277,0.87527,0.92437,0.688,0.95653,0.63952,1.16041,3.1e-05,3.1e-05,3.1e-05
98,2261.21,0.62329,0.43429,0.96609,0.92951,0.87547,0.92509,0.69256,0.93684,0.63488,1.15612,2.48125e-05,2.48125e-05,2.48125e-05
99,2284.18,0.62001,0.43408,0.96515,0.91536,0.88719,0.92567,0.68656,0.96285,0.64061,1.16386,1.8625e-05,1.8625e-05,1.8625e-05
100,2307.02,0.62537,0.43404,0.96683,0.92773,0.88322,0.92477,0.69005,0.95763,0.63968,1.1621,1.24375e-05,1.24375e-05,1.24375e-05
